,Title,Price,CPU Model,Style,Memory Storage Capacity,Switch Type,Brand,Average Battery Life (in hours),Data Transfer Rate,Manufacturer,Contact Type,Processor,Hard Drive,CPU Speed,Cover Material,Graphics Coprocessor,Domestic Shipping,Keyboard layout,Country of Origin,Series,Special Features,Item model number,Special Feature,Connectivity technologies,ASIN,Generation,Model Name,Screen Resolution,Theme,Material,Ink Color,Max Screen Resolution,Best Sellers Rank,Standing screen display size,International Shipping,Package Dimensions,Current Rating,Size,Operating Voltage,Date First Available,Cable Type,Hard Disk Size,Item Weight,Batteries,Department,Wireless Type,Material Type,Hardware Interface,Product Dimensions,Color,Number of USB 3.0 Ports,Screen Size,Item Thickness,Form Factor,RAM,Number of Keys,Connector Gender,Connector Type,Compatible Devices,Operation Mode,Manufacturer Part Number,Number of Buttons,Number of USB 2.0 Ports,Voltage,Ram Memory Installed Size,Keyboard Description,Operating System,Keyboard backlighting color support,Included Components,Water Resistance Level,Power Source,Customer Reviews,Language,Terminal,Chipset Brand,Is Discontinued By Manufacturer,Hardware Platform,Other display features,Number of Ports,Item Dimensions LxWxH,Connectivity Technology,Card Description
0,Amazon Basics Matte Black Wired Keyboard - US Layout (QWERTY),13,,Keyboard,,,Amazon Basics,,,Amazon Basics,,,,,,,,,China,,,ACI-2323-01,Multimedia Keyboard,,B07WJ5D3H4,,,,,,,,#4 in Computer Keyboards,,,,,,,"December 2, 2019",,,15.7 ounces,,,,,,17.39 x 5.01 x 1.06 inches,Black,,,,,,,,,,,,,,,,Qwerty,"Windows XP, Windows Vista, Windows 2000",,,,,"1,584 ratings
4.6 out of 5 stars",,,,,,,,17.39 x 5.01 x 1.06 inches,Wired,
1,Logitech MK545 Advanced Wireless Keyboard and Mouse Combo,54,,,,,Logitech,,,Logitech,,,,,,,,,China,,,920-008695,,,B079HR85C3,,,,,,,,#3 in Computer Keyboard & Mouse Combos,,,,,,,"December 5, 2016",,,2 pounds,2 AAA batteries required. (included),,,,,18.58 x 7.91 x 2.91 inches,Black,,,,,,,,,,,,,,,,,"Windows 7, 10, 11 or later, Chrome OS",,,,Battery Powered,"7,499 ratings
4.6 out of 5 stars",,,,No,,,,18.58 x 7.91 x 2.91 inches,,
2,Amazon Basics Matte Black Wired Keyboard - US Layout (QWERTY),13,,Keyboard,,,Amazon Basics,,,Amazon Basics,,,,,,,,,China,,,ACI-2323-01,Multimedia Keyboard,,B07WJ5D3H4,,,,,,,,#4 in Computer Keyboards,,,,,,,"December 2, 2019",,,15.7 ounces,,,,,,17.39 x 5.01 x 1.06 inches,Black,,,,,,,,,,,,,,,,Qwerty,"Windows XP, Windows Vista, Windows 2000",,,,,"1,584 ratings
4.6 out of 5 stars",,,,,,,,17.39 x 5.01 x 1.06 inches,Wired,
3,Redragon S101 Wired Gaming Keyboard and Mouse Combo RGB Backlit Gaming Keyboard with Multimedia Keys Wrist Rest and Red Backlit Gaming Mouse 3200 DPI for Windows PC Gamers (Black),35,,,,,Redragon,,,Redragon,,,,,,,,,,,,S101,,,B00NLZUM36,,,,,,,,"#49 in Video Games (See Top 100 in Video Games)
#1 in Mac Gaming Keyboards
#1 in PC Gaming Keyboards",,,,,,,"September 16, 2014",,,2.16 pounds,,,,,,17.91 x 7.2 x 0.91 inches,Black,,,,,,114,,,,,,,,,,,"Linux, Win xp, Win 2000, Win vista, Win7, Win8",,,,,"39,396 ratings
4.6 out of 5 stars",,,,No,,,,,Wired,
4,Logitech Wireless Combo MK270,27,,,,,Logitech,,,Logitech,,,,,,,,,China,MK270,,920-008813,,,B079JLY5M5,,,,,,,,#1 in Computer Keyboard & Mouse Combos,,,,,,,"April 1, 2018",,,1.05 pounds,2 AAA batteries required. (included),,,,,20.08 x 6.22 x 1.81 inches,Black,,,,,,,,,,,,,,,,,"Windows 10, 11 or later, Chrome OS",,,,Battery Powered,"66,403 ratings
4.6 out of 5 stars",,,,No,,,,20.08 x 6.22 x 1.81 inches,Wireless,
5,"Manhattan Wired Computer Keyboard, Black – Basic Keyboard - with 5ft USB-A Cable, 104-keys, Foldable Stands - Compatible for Windows, PC, Laptop - 3 Year Warranty - 179324",11,,,,,Manhattan Products,,,Manhattan,,,,,,,,,,,,179324-UK,Foldable,,B07RQVB3HQ,,,,,,,,#15 in Computer Keyboards,,,17.95 x 5.79 x 1.3 inches,,,,"May 14, 2019",,,14.4 ounces,,,,,,,Black,,,,,,104,,,"Laptop, PC",,,104,,,,Ergonomic,,,,,,"4,602 ratings
4.1 out of 5 stars",,,,,,,,,Wired,
6,"Wireless Keyboard Mouse Combo, cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - Silver",33,,,,,Cimetech,,,cntorich,,,,,,,,,,,,,,,B07YF98LDJ,,,,,,,,#62 in Computer Keyboard & Mouse Combos,,,14.92 x 5.75 x 1.85 inches,,,,"September 26, 2019",,,1.34 pounds,,,,,,,Silver,,,,,,,,,,,,,,,,,"Windows xp, Windows 8, Windows vista, Windows 7, Windows 10",,,,Battery Powered,"5,463 ratings
4.3 out of 5 stars",,,,,,,,,USB,
7,"Verbatim Slimline Full Size Wired Keyboard USB Plug-and-Play - Compatible with PC, Laptop - Black",9,,Wired Keyboard,,,Verbatim,,,"Verbatim America, LLC",,,,,,,,,China,Slimline,,99201,,,B017M4IX8W,,,,,Other,,,#13 in Computer Keyboards,,,,,,,"October 30, 2015",,,15.2 ounces,,Keyboards/Input Devices,,,,17.52 x 5.71 x 0.98 inches,BLACK,,,,,,,,,PC,,,,,,,Cable,"Mac os x puma, Windows XP, Windows Vista, Windows 7",,Slimline Corded USB Keyboard,,,"5,608 ratings
4.4 out of 5 stars",,,,No,PC,,,17.52 x 5.71 x 0.98 inches,USB 2.0,
8,"Gaming Keyboard USB, Quiet Metal Rainbow Computer Keyboard with Wrist Rest - Dacoity Wired Light Up LED Gaming Keyboard, Multimedia Keys, 19 Keys Anti-ghosting Keyboard for PC/Mac Game/PS4/5/Office",24,,,,,Dacoity,,,Dacoity,,,,,,,,,,,,,"Tenkeyless, Ergonomic, Waterproof, Rainbow LED Backlit",,B09W9BCK4V,,,,,"Silicone, Metal",,,,,,17.52 x 8.11 x 1.42 inches,,,,"March 23, 2022",,,2.36 pounds,,,,,,,,,,,,,,,,"Laptop, PC, Computer, Mac, PS 4, PS 5,Xbox",,,19,,,,Membrane,Compatible with Windows 95 /98 /XP /2000 /2003 /XP /ME /VISTA /7 /8 /10 and Mac OS,,Keycap Puller,,,"1 rating
5.0 out of 5 stars",,,,,,,,,Wired,
9,"NPET K10 Gaming Keyboard, LED Backlit, Spill-Resistant Design, Multimedia Keys, Quiet Silent USB Membrane Keyboard for Desktop, Computer, PC (Black)",19,,Keyboard Only,,,NPET,,,NPET,,,,,,,,,China,,,FBA_HY-ECCAK,Gaming Keyboard for Gaming or Working,,B01ALLT2W4,,FBA_HY-ECCAK,,,,,,"#336 in Video Games (See Top 100 in Video Games)
#10 in PC Gaming Keyboards",,,,,,,"January 14, 2016",,,1.32 pounds,,,,,,17.32 x 5.51 x 0.98 inches,Black,,,,,,104,,,Compatible with Windows 95/98/XP/2000/ME/VISTA/7/8/10 and Mac OS,,,,,,,Gaming,,,Keycap Puller,,,"15,611 ratings
4.5 out of 5 stars",,,,No,,,,,USB,
